file_name,lake_path,zone,category,subcategory,project,manifest_id,file_format,extension,size_bytes,checksum,tags,created_at,status,version,source_reference
W2E - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/W2E - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,385978,,,,,,
ACWA Power - Owners - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/ACWA Power - Owners - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,290101,,,,,,
Power curves - Manufacturers and turbines - Online store and quote request - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Power curves - Manufacturers and turbines - Online store and quote request - The Wind Power.mhtml,,,,,,MHTML,mhtml,664143,,,,,,
Siemens-Gamesa - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Siemens-Gamesa - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,403945,,,,,,
Envision EN-171_6.5 - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Envision EN-171_6.5 - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,288102,,,,,,
sam-cashflow-sample-merchant-plant-2022-11-21.xlsx,Raw/Archives/wind farms/wind farms/sam-cashflow-sample-merchant-plant-2022-11-21.xlsx,,,,,,XLSX,xlsx,265605,,,,,,
Sample_World_Windfarms.xls,Raw/Archives/wind farms/wind farms/Sample_World_Windfarms.xls,,,,,,XLS,xls,138240,,,,,,
Wind turbines - Manufacturers and turbines - Online store and quote request - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Wind turbines - Manufacturers and turbines - Online store and quote request - The Wind Power.mhtml,,,,,,MHTML,mhtml,467973,,,,,,
LCOE Calculator - System Advisor Model - SAM.mhtml,Raw/Archives/wind farms/wind farms/LCOE Calculator - System Advisor Model - SAM.mhtml,,,,,,MHTML,mhtml,784143,,,,,,
World - Wind farms - Online store and quote request - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/World - Wind farms - Online store and quote request - The Wind Power.mhtml,,,,,,MHTML,mhtml,644060,,,,,,
Invenergy - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Invenergy - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,387928,,,,,,
EDP Renovaveis - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/EDP Renovaveis - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,424897,,,,,,
Sample_Manufacturers.xls,Raw/Archives/wind farms/wind farms/Sample_Manufacturers.xls,,,,,,XLS,xls,110592,,,,,,
Tanay (Philippines) - Wind farms - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Tanay (Philippines) - Wind farms - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,288800,,,,,,
CSSC┬áHaizhuang - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/CSSC┬áHaizhuang - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,388933,,,,,,
Iberdrola Renewables - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Iberdrola Renewables - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,415318,,,,,,
Envision - The Wind Power.pdf,Raw/Archives/wind farms/wind farms/Envision - The Wind Power.pdf,,,,,,PDF,pdf,35170,,,,,,
1751344341Statistical_Digest_2024.pdf,Raw/Archives/wind farms/wind farms/1751344341Statistical_Digest_2024.pdf,,,,,,PDF,pdf,675770,,,,,,
LKA.geojson,Raw/Archives/wind farms/wind farms/LKA.geojson,,,,,,GEOJSON,geojson,205193,,,,,,
Dongfang Electric Corporation - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Dongfang Electric Corporation - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,379761,,,,,,
RES - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/RES - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,487288,,,,,,
China Three Gorges Corporation - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/China Three Gorges Corporation - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,317271,,,,,,
GE Energy - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/GE Energy - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,467852,,,,,,
Sample_Developers (1).xls,Raw/Archives/wind farms/wind farms/Sample_Developers (1).xls,,,,,,XLS,xls,112640,,,,,,
Players - Players - Online store and quote request - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Players - Players - Online store and quote request - The Wind Power.mhtml,,,,,,MHTML,mhtml,388366,,,,,,
Sample_Developers.xls,Raw/Archives/wind farms/wind farms/Sample_Developers.xls,,,,,,XLS,xls,112640,,,,,,
NextEra Energy Resources - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/NextEra Energy Resources - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,427233,,,,,,
