scenario,equity_irr,project_irr,equity_npv,project_npv,dscr_min,llcr_min,plcr_min
8427,0.22605584863761363,0.1390100184442533,34640737.27724044,37659352.78489774,1.3,2.0343693798607414,2.0343693798607414
8428,0.19831180854801223,0.1267773775745571,23657247.881858576,24402321.66250229,1.3,1.8704893247290348,1.8704893247290348
8429,0.2154714782266347,0.13447571482068565,27542329.15357492,29531615.295981243,1.2999999999999998,1.9756588565054019,1.9756588565054019
8430,0.13284398082997262,0.09797987665503416,3366847.4254787397,-1824717.247946385,1.2999999999999998,1.487909381446008,1.487909381446008
8431,0.1845568739077923,0.12089712106961681,18224344.865407545,17975949.486251697,1.3,1.798779593373919,1.798779593373919
8432,0.16616600484116906,0.11257184834005751,12570199.638995813,10759537.2829957,1.2999999999999998,1.6850669439960946,1.6850669439960946
8433,0.20997832114681447,0.13185780477939035,27475635.649640024,29095143.38577579,1.3,1.9364064030425079,1.9364064030425079
8434,0.18763106551878428,0.12213320149628926,21088220.366108052,21013601.69144525,1.3,1.8113226912117293,1.8113226912117293
8435,0.16126863693338733,0.11033847290316467,10714431.385469226,8531839.281186735,1.3,1.6540265512974044,1.6540265512974044
8436,0.22528003592438828,0.13849860569603467,29055060.46001759,31499542.843029868,1.3,2.022964400959364,2.022964400959364
8437,0.21231246455387787,0.13306793756740976,27857061.286451165,29701619.929242626,1.3,1.9568831915404847,1.9568831915404847
8438,0.1984834071679098,0.12683000613877882,22959804.929868504,23684367.990998086,1.3,1.8706120833909359,1.8706120833909359
8439,0.13988155405111646,0.10091454616492834,5334464.06780871,826916.0891198707,1.3,1.525939172780452,1.525939172780452
8440,0.16885134265188229,0.11395071952871438,15918952.116298717,14152140.477108454,1.3,1.707858823319249,1.707858823319249
8441,0.16590373728166052,0.112457944983271,12665007.953874882,10808226.982494088,1.2999999999999998,1.6836556398465246,1.6836556398465246
8442,0.23164299812600442,0.14140359817181514,34909183.081548005,38179563.795444556,1.2999999999999998,2.0665091642212268,2.0665091642212268
8443,0.17348809472180893,0.11572486571333918,14276203.229650225,13064336.546143306,1.3,1.7235835423078536,1.7235835423078536
8444,0.2201213156278854,0.13645090751848143,25701087.6429393,27733192.770384766,1.3,1.9994795661241844,1.9994795661241844
8445,0.17516564339109464,0.11653650770125634,15456619.473282434,14360866.328034531,1.2999999999999998,1.7362768827214252,1.7362768827214252
8446,0.18187387515054376,0.11953896133247088,18968044.07432332,18381556.071576353,1.3,1.7767213204527628,1.7767213204527628
8447,0.291787818280252,0.1664240307802085,49979939.865927875,56510536.13302981,1.2999999999999998,2.402013113168232,2.402013113168232
8448,0.11755324642677256,0.09181479452444052,-627790.123178262,-7722401.143733492,1.2999999999999998,1.4048629936762924,1.4048629936762924
8449,0.19360677226939993,0.12490212800255729,21307097.41367569,21756281.486296494,1.3,1.8502856925303524,1.8502856925303524
8450,0.16838251169306861,0.11343489710741794,11325886.383200806,9878952.862141306,1.3,1.6929693923241884,1.6929693923241884
8451,0.1800543312769438,0.11886323553319422,19147590.77142192,18444280.45933984,1.2999999999999998,1.7713227033108245,1.7713227033108245
8452,0.2090184761165037,0.13157169743619135,24349888.05951894,25786020.653742097,1.3,1.9361135838491395,1.9361135838491395
8453,0.15608486180505587,0.10804117926702594,11141124.948253334,7982905.914299931,1.3,1.6228335342716251,1.6228335342716251
8454,0.19083315676078394,0.12353623048903795,19857914.8880224,20027729.141061153,1.3,1.8287352023453627,1.8287352023453627
8455,0.23096423997616422,0.1409991828539212,31023902.667420626,33870099.71158591,1.3,2.058207947400447,2.058207947400447
8456,0.1273466303661377,0.09578123729553911,2190040.3399390727,-4408470.726584007,1.3,1.4608189096286355,1.4608189096286355
8457,0.13877024293182583,0.10049442304578093,4124232.5750030708,366546.02164135175,1.3,1.5220228620824288,1.5220228620824288
8458,0.17008771965341274,0.11434430022909048,14400371.734196015,12865123.233922057,1.3,1.7086505906677252,1.7086505906677252
8459,0.16596045089796974,0.11235435837789898,12320741.139813213,10450241.359480873,1.2999999999999998,1.6788535412390138,1.6788535412390138
8460,0.16950017355666147,0.11410614534314667,17383322.43272573,15459095.881253889,1.2999999999999998,1.7062371363103703,1.7062371363103703
8461,0.1649056971277827,0.11189001953573263,13532612.45335096,11327497.588091223,1.3,1.6728901554939875,1.6728901554939875
8462,0.20399757751561354,0.1292925906475917,24610882.247345313,25758428.50150453,1.2999999999999998,1.9043028142090794,1.9043028142090794
8463,0.23638877979629136,0.1434208049126311,32734379.58718477,35959634.34026697,1.2999999999999998,2.0931288253192153,2.0931288253192153
8464,0.16506651114582405,0.11203864554087306,13743764.743018623,11577826.866107037,1.2999999999999998,1.6769060733979864,1.6769060733979864
8465,0.22795298746587989,0.1395663807068901,28326703.808890678,30781053.30968835,1.2999999999999998,2.0353794160846284,2.0353794160846284
8466,0.1634333906463301,0.11129743253529378,12709461.024302563,10462671.55182553,1.3,1.6667275441628588,1.6667275441628588
8467,0.18569497793943968,0.12125604829467185,20292666.28495772,20044513.640620105,1.3,1.799579214494593,1.799579214494593
8468,0.14696028198297206,0.10415139135143225,6965623.008628332,3514298.091577793,1.2999999999999998,1.5746915767550356,1.5746915767550356
8469,0.17481354070105293,0.11644769960450962,16781199.938459247,15589698.08872903,1.2999999999999998,1.7368552445954946,1.7368552445954946
8470,0.1795034049993589,0.11834290106741552,16833697.368915133,16028864.053076066,1.2999999999999998,1.7572498709075877,1.7572498709075877
8471,0.2163318685973481,0.1348152885974061,27615911.10074036,29637608.55591366,1.3,1.9790706101399096,1.9790706101399096
8472,0.17947213094195846,0.11848534654406939,18914202.534557045,18093614.263482545,1.3,1.763200895038803,1.763200895038803
